+------------------------------------------------------------------------------------------------------+----------------------------------------------------+------------------------------------------------------------------+
| Δραστική Ουσία                                                                                       | Αριθμός Αλλεργικών Ασθενών                         | Αριθμός Φαρμάκων που την περιέχουν                               |
| Atorvastatin Calcium Trihydrate                                                                      |                                                  0 |                                                              100 |
| Atosiban                                                                                             |                                                  0 |                                                               38 |
| Atosiban Acetate                                                                                     |                                                  0 |                                                                2 |
| Atovaquone                                                                                           |                                                  0 |                                                              105 |
| Atracurium Besilate                                                                                  |                                                  0 |                                                               50 |
| Atropa Bella-Donna C3                                                                                |                                                  0 |                                                               25 |
| Atropa Bella-Donna C4                                                                                |                                                  0 |                                                                9 |
| Atropa Bella-Donna D12                                                                               |                                                  0 |                                                                5 |
| Atropa Bella-Donna D2                                                                                |                                                  0 |                                                               16 |
| Atropa Bella-Donna D4                                                                                |                                                  0 |                                                               45 |
| Atropa Bella-Donna D6                                                                                |                                                  0 |                                                               17 |
| Atropa Bella-Donna Dil D5                                                                            |                                                  0 |                                                                4 |
| Atropa Bella-Donna Dil. D1                                                                           |                                                  0 |                                                                3 |
| Atropa Belladonna Dil. D4                                                                            |                                                  0 |                                                               32 |
| Atropa Belladonna E Fructibus Ferm 33a Dil. D4 (Hab                                                  |                                                  0 |                                                                1 |
| Atropa Belladonna E Fructibus Ferm 33a Dil. D5 (Hab                                                  |                                                  0 |                                                                1 |
| Atropa Belladonna E Radice Ferm 33b Dil. D11 (Hab                                                    |                                                  0 |                                                                1 |
| Atropa Belladonna E Radice Ferm 33b Dil. D3 (Hab                                                     |                                                  0 |                                                                1 |
| Atropa Belladonna E Radice Ferm 33b Dil. D5 (Hab                                                     |                                                  0 |                                                                3 |
| Atropa Belladonna E Radice Ferm 33b Dil. D9 (Hab                                                     |                                                  0 |                                                                1 |
| Atropa Belladonna Ex Herba Ferm 33a Dil. D14 (Hab                                                    |                                                  0 |                                                                9 |
| Atropa Belladonna Ex Herba Ferm 33a Dil. D2 (Hab                                                     |                                                  0 |                                                                6 |
| Atropa Belladonna Ex Herba Ferm 33a Dil. D3 (Hab                                                     |                                                  0 |                                                                3 |
| Atropa Belladonna Mother Tincture                                                                    |                                                  0 |                                                                2 |
| Atropine                                                                                             |                                                  0 |                                                                8 |
| Atropine Sulfate                                                                                     |                                                  0 |                                                              117 |
| Atropine Sulfate Monohydrate                                                                         |                                                  0 |                                                               41 |
| Atropine Sulfate Ph. Eur.                                                                            |                                                  0 |                                                                4 |
| Atropine Sulphate Bp                                                                                 |                                                  0 |                                                                1 |
| Atropinum Sulfuricum D5                                                                              |                                                  0 |                                                                9 |
| Atropinum Sulfuricum Dil. D5                                                                         |                                                  0 |                                                                4 |
| Atropinum Sulfuricum Trit. D5                                                                        |                                                  0 |                                                                6 |
| Aureobasidium Pullulans                                                                              |                                                  0 |                                                               25 |
| Auri Solutio Colloidalis D4                                                                          |                                                  0 |                                                                1 |
| Aurum Metallicum Dil. D12                                                                            |                                                  0 |                                                                6 |
| Aurum Metallicum Dil. D14 Aquos.                                                                     |                                                  0 |                                                                4 |
| Aurum Metallicum Dil. D29 Aquos.                                                                     |                                                  0 |                                                                3 |
| Aurum Metallicum Dil. D5                                                                             |                                                  0 |                                                                1 |
| Aurum Metallicum Dil. D9                                                                             |                                                  0 |                                                               22 |
| Aurum Metallicum Praeparatum Dil. D10                                                                |                                                  0 |                                                                3 |
| Aurum Metallicum Praeparatum Dil. D10 Aquos.                                                         |                                                  0 |                                                                5 |
| Aurum Metallicum Praeparatum Dil. D15                                                                |                                                  0 |                                                                3 |
| Aurum Metallicum Praeparatum Dil. D30                                                                |                                                  0 |                                                                4 |
| Aurum Metallicum Praeparatum Dil. D4                                                                 |                                                  0 |                                                                1 |
| Aurum Metallicum Praeparatum Trit. D10                                                               |                                                  0 |                                                                4 |
| Aurum Metallicum Trit. D3                                                                            |                                                  0 |                                                                1 |
| Aurum Metallicum Trit. D6                                                                            |                                                  0 |                                                                3 |
| Aurum Metallicum Trit. D7                                                                            |                                                  0 |                                                                3 |
| Auszug (10:1                                                                                         |                                                  0 |                                                                1 |
| Auszug Aus Keuschlammfr?chten (7                                                                     |                                                  0 |                                                                0 |
| Autologous Cartilage-Derived Articular Chondrocytes                                                  |                                                  0 |                                                                1 |
| Autologous Cd34+ Enriched Cell Fraction That Contains Cd34+ Cells Transduced With Retroviral Vector  |                                                  0 |                                                                4 |
| Autumn Crocus Fresh Flower Fluid Extract (1:15-25)                                                   |                                                  0 |                                                                1 |
| Avacopan                                                                                             |                                                  0 |                                                                4 |
| Avalglucosidase Alfa                                                                                 |                                                  0 |                                                                4 |
| Avanafil                                                                                             |                                                  0 |                                                                4 |
| Avapritinib                                                                                          |                                                  0 |                                                                4 |
| Avatrombopag Maleate                                                                                 |                                                  0 |                                                                4 |
| Avelumab                                                                                             |                                                  0 |                                                                4 |
| Avena Fatua Whole.                                                                                   |                                                  0 |                                                               29 |
| Avena Sativa 2b ?                                                                                    |                                                  0 |                                                                0 |
| Avena Sativa 3dh                                                                                     |                                                  0 |                                                                2 |
| Avena Sativa D1                                                                                      |                                                  0 |                                                                8 |
| Avena Sativa D2                                                                                      |                                                  0 |                                                               13 |
| Avena Sativa D4                                                                                      |                                                  0 |                                                                4 |
| Avena Sativa Dil. D1                                                                                 |                                                  0 |                                                                8 |
| Avena Sativa Ferm 33c ?                                                                              |                                                  0 |                                                                0 |
| Avena Sativa Ferm 33c Dil. D2                                                                        |                                                  0 |                                                                3 |
| Avena Sativa L.                                                                                      |                                                  0 |                                                               49 |
| Avena Sativa Mother Tincture                                                                         |                                                  0 |                                                               28 |
| Avocado                                                                                              |                                                  0 |                                                                9 |
| Avocado Oil Unsaponifiables                                                                          |                                                  0 |                                                                7 |
| Axicabtagene Ciloleucel                                                                              |                                                  0 |                                                                4 |
| Axitinib                                                                                             |                                                  0 |                                                               72 |
| Azacitidine                                                                                          |                                                  0 |                                                              208 |
| Azathioprine                                                                                         |                                                  0 |                                                               91 |
| Azathioprine Bp                                                                                      |                                                  0 |                                                                2 |
| Azelaic Acid                                                                                         |                                                  0 |                                                               49 |
| Azelastine                                                                                           |                                                  0 |                                                               10 |
| Azelastine Hydrochloride                                                                             |                                                  0 |                                                              378 |
| Azidamfenicol                                                                                        |                                                  0 |                                                                2 |
| Azilsartan Medoxomil                                                                                 |                                                  0 |                                                                6 |
| Azithromycin                                                                                         |                                                  0 |                                                              295 |
| Azithromycin Dihydrate                                                                               |                                                  0 |                                                              149 |
| Azithromycin Monohydrate                                                                             |                                                  0 |                                                                3 |
| Azoximer Bromide                                                                                     |                                                  0 |                                                                1 |
| Aztreonam                                                                                            |                                                  0 |                                                               19 |
| B/Austria/1359417/2021-Like Strain (B/Singapore/Wuh4618/2021)                                        |                                                  0 |                                                                8 |
| B/Phuket/3073/2013-Like Strain (B/Phuket/3073/2013                                                   |                                                  0 |                                                                4 |
| B/Phuket/3073/2013-Like Virus (B/Phuket/3073/2013                                                    |                                                  0 |                                                              126 |
| B/Phuket/3073/2013-Like Virus (B/Singapore/Inftt-16-0610/2016                                        |                                                  0 |                                                                4 |
| B?rlauchbl?tter-Pulver                                                                               |                                                  0 |                                                                0 |
| Bacampicillin Hydrochloride                                                                          |                                                  0 |                                                                1 |
| Bacillus Calmette-Gu?rin (Bcg)                                                                       |                                                  0 |                                                                0 |
| Bacillus Cereus E Volumine Cellulae (Lyophil.                                                        |                                                  0 |                                                                1 |
| Bacillus Cereus E Volumine Ex Muris Cellulae (Lyophil.                                               |                                                  0 |                                                                2 |
| Bacillus Clausii                                                                                     |                                                  0 |                                                                7 |
| Bacillus Firmus E Volumine Cellulae (Lyophil.                                                        |                                                  0 |                                                                1 |
| Bacillus Firmus E Volumine Ex Muris Cellulae (Lyophil.                                               |                                                  0 |                                                                2 |
| Bacillus Subtilis E Volumine Cellulae (Lyophil.                                                      |                                                  0 |                                                                1 |
| Bacillus Subtilis E Volumine Ex Muris Cellulae (Lyophil.                                             |                                                  0 |                                                                2 |
| Bacitracin                                                                                           |                                                  0 |                                                               42 |
| Bacitracin Zinc                                                                                      |                                                  0 |                                                               24 |
| Baclofen                                                                                             |                                                  0 |                                                              150 |
| Baclofen Ph. Eur.                                                                                    |                                                  0 |                                                                1 |
| Bacterial Lysate                                                                                     |                                                  0 |                                                                6 |
| Bagasse                                                                                              |                                                  0 |                                                                5 |
| Baloxavir Marboxil                                                                                   |                                                  0 |                                                                4 |
| Balsalazide Disodium                                                                                 |                                                  0 |                                                                6 |
| Bambuterol Hydrochloride                                                                             |                                                  0 |                                                                3 |
| Bamipine Lactate                                                                                     |                                                  0 |                                                                3 |
| Banana Fruit                                                                                         |                                                  0 |                                                               10 |
| Baptisia (Hab34) Mother Tincture                                                                     |                                                  0 |                                                                3 |
| Baptisia Dil. D1                                                                                     |                                                  0 |                                                                1 |
| Baptisia Tinctoria                                                                                   |                                                  0 |                                                                2 |
| Baricitinib                                                                                          |                                                  0 |                                                                4 |
| Barium Chloratum D4                                                                                  |                                                  0 |                                                                1 |
| Barium Chloratum D5                                                                                  |                                                  0 |                                                                1 |
| Barium Citricum Dil. D9 (Hab                                                                         |                                                  0 |                                                                1 |
| Barium Citricum Trit. D3                                                                             |                                                  0 |                                                                1 |
| Barium Iodatum Dil. D4                                                                               |                                                  0 |                                                                5 |
| Barium Oxalsuccinicum D200                                                                           |                                                  0 |                                                                2 |
| Barium Sulfate                                                                                       |                                                  0 |                                                               53 |
| Barley Cream                                                                                         |                                                  0 |                                                               11 |
| Barley Grain                                                                                         |                                                  0 |                                                                1 |
| Barnidipine Hydrochloride                                                                            |                                                  0 |                                                               14 |
| Barosma Betulinum D8                                                                                 |                                                  0 |                                                                1 |
| Baryta Muriatica D12                                                                                 |                                                  0 |                                                                2 |
| Basiliximab                                                                                          |                                                  0 |                                                                4 |
| Bay Leaf                                                                                             |                                                  0 |                                                                9 |
| Bazedoxifene                                                                                         |                                                  0 |                                                                8 |
| Bcg (Bacillus Calmette-Gu?rin)                                                                       |                                                  0 |                                                                0 |
| Bcg (Bacillus Calmette-Gu?rin) Bacteria                                                              |                                                  0 |                                                                0 |
| Bean Mixture                                                                                         |                                                  0 |                                                                2 |
| Bearberry Extract                                                                                    |                                                  0 |                                                                1 |
| Bearberry Leaves Dry Extract (3-4:1)                                                                 |                                                  0 |                                                                3 |
| Bearberry Leaves Extract (1:0                                                                        |                                                  0 |                                                                1 |
| Beclometasone Dipropionate                                                                           |                                                  0 |                                                              353 |
| Beclometasone Dipropionate Anhydrous                                                                 |                                                  0 |                                                              118 |
| Beclometasone Dipropionate Monohydrate                                                               |                                                  0 |                                                                1 |
| Beclometasone Dipropionate Ph. Eur.                                                                  |                                                  0 |                                                                6 |
| Beclometasone Propionate                                                                             |                                                  0 |                                                                1 |
| Bedaquiline                                                                                          |                                                  0 |                                                                4 |
| Bee Venom                                                                                            |                                                  0 |                                                                1 |
| Beech                                                                                                |                                                  0 |                                                                6 |
| Beef                                                                                                 |                                                  0 |                                                                2 |
| Belantamab Mafodotin                                                                                 |                                                  0 |                                                                4 |
| Belatacept                                                                                           |                                                  0 |                                                                4 |
| Belimumab                                                                                            |                                                  0 |                                                                8 |
| Belladonna Alkaloids                                                                                 |                                                  0 |                                                                3 |
| Belladonna D3                                                                                        |                                                  0 |                                                               15 |
| Belladonna D4                                                                                        |                                                  0 |                                                               10 |
| Belladonna D6                                                                                        |                                                  0 |                                                               16 |
| Belladonna Dry Extract                                                                               |                                                  0 |                                                                2 |
| Belladonna Leaf Dry Extract                                                                          |                                                  0 |                                                                1 |
| Belladonna Rh Dil. D10                                                                               |                                                  0 |                                                                1 |
| Belladonna Rh Dil. D3                                                                                |                                                  0 |                                                                1 |
| Belladonna Rh Dil. D6                                                                                |                                                  0 |                                                                2 |
| Belladonna Tincture                                                                                  |                                                  0 |                                                                5 |
| Belladonna Trit. D3                                                                                  |                                                  0 |                                                                4 |
| Bellis Perennis D2                                                                                   |                                                  0 |                                                               23 |
| Bellis Perennis Spag. Peka Dil. D8                                                                   |                                                  0 |                                                                2 |
| Bellis Perennis Trit: D 2                                                                            |                                                  0 |                                                                3 |
| Belzutifan                                                                                           |                                                  0 |                                                                4 |
| Bemiparin                                                                                            |                                                  0 |                                                                2 |
| Bemiparin Sodium                                                                                     |                                                  0 |                                                               30 |
| Bempedoic Acid                                                                                       |                                                  0 |                                                                8 |
| Benazepril Hydrochloride                                                                             |                                                  0 |                                                               25 |
| Bencyclane Fumarate                                                                                  |                                                  0 |                                                                3 |
| Bendamustine                                                                                         |                                                  0 |                                                                2 |
| Bendamustine Hydrochloride                                                                           |                                                  0 |                                                              143 |
| Bendamustine Hydrochloride Monohydrate                                                               |                                                  0 |                                                                3 |
| Bendazac Lysinate                                                                                    |                                                  0 |                                                                3 |
| Bendroflumethiazide                                                                                  |                                                  0 |                                                               29 |
| Bendroflumethiazide Ph. Eur.                                                                         |                                                  0 |                                                                1 |
| Benfotiamine                                                                                         |                                                  0 |                                                               81 |
| Benperidol                                                                                           |                                                  0 |                                                                5 |
| Benproperine Phosphate                                                                               |                                                  0 |                                                                1 |
| Benralizumab                                                                                         |                                                  0 |                                                                4 |
| Benserazide                                                                                          |                                                  0 |                                                               26 |
| Benserazide Hydrochloride                                                                            |                                                  0 |                                                               66 |
| Bent Pollen                                                                                          |                                                  0 |                                                                1 |
| Benzaldehyde                                                                                         |                                                  0 |                                                                1 |
| Benzalkonium Chloride                                                                                |                                                  0 |                                                              118 |
| Benzalkonium Chloride Solution                                                                       |                                                  0 |                                                               23 |
| Benzalkonium Chloride Solution 50%                                                                   |                                                  0 |                                                                8 |
| Benzathine Benzylpenicillin                                                                          |                                                  0 |                                                               29 |
| Benzathine Benzylpenicillin Tetrahydrate                                                             |                                                  0 |                                                                1 |
| Benzbromarone                                                                                        |                                                  0 |                                                                4 |
| Benzensulfonchloramide Sodium                                                                        |                                                  0 |                                                                1 |
| Benzethonium Chloride                                                                                |                                                  0 |                                                                4 |
| Benzocaine                                                                                           |                                                  0 |                                                              141 |
| Benzododecinium Bromide                                                                              |                                                  0 |                                                                4 |
| Benzododecinium Bromide 10% Solution                                                                 |                                                  0 |                                                                3 |
| Benzoic Acid                                                                                         |                                                  0 |                                                               10 |
| Benzoic Acid Ph.Eur.                                                                                 |                                                  0 |                                                                1 |
| Benzoin                                                                                              |                                                  0 |                                                                1 |
| Benzoin Tincture                                                                                     |                                                  0 |                                                               12 |
| Benzoxonium Chloride                                                                                 |                                                  0 |                                                               17 |
| Benzoyl Peroxide                                                                                     |                                                  0 |                                                              241 |
