+----------+------------------------------------------------------+---------------------------------------+---------------------------------------+---------------------------------+----------------------------------+--------------------------------------------------+---------------------------------+-----------------------------------+-----------------------------+
| Έτος     | Τμήμα                                                | Κωδικός ΚΕΝ / Σύνολο                  | Ασφαλιστικός Φορέας                   | Πλήθος Νοσηλειών                | Βασικό Κόστος ΚΕΝ                | Πρόσθετη Χρέωση (Υπέρβαση)                       | Κόστος Εξετάσεων                | Κόστος Επεμβάσεων                 | Συνολικά Έσοδα              |
|     2025 | Νευρολογικό Τμήμα                                    | 136                                   | ΕΟΠΥΥ                                 |                               1 |                             1910 |                                              500 |                             250 |                              1910 |                        2660 |
|     2025 | Νευρολογικό Τμήμα                                    | 64                                    | ΕΦΚΑ                                  |                               1 |                              739 |                                              100 |                             250 |                               739 |                        1089 |
|     2025 | Νευρολογικό Τμήμα                                    | 82                                    | ΕΦΚΑ                                  |                               1 |                             1611 |                                              100 |                             250 |                              1611 |                        1961 |
|     2025 | Ορθοπεδική Κλινική                                   | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               6 |                            63782 |                                                0 |                             232 |                             63782 |                       64014 |
|     2025 | Ορθοπεδική Κλινική                                   | 138                                   | ΕΦΚΑ                                  |                               1 |                             1798 |                                                0 |                              35 |                              1798 |                        1833 |
|     2025 | Ορθοπεδική Κλινική                                   | 147                                   | Ιδιωτική                              |                               1 |                             1821 |                                                0 |                              30 |                              1821 |                        1851 |
|     2025 | Ορθοπεδική Κλινική                                   | 2                                     | ΕΦΚΑ                                  |                               1 |                            50379 |                                                0 |                              42 |                             50379 |                       50421 |
|     2025 | Ορθοπεδική Κλινική                                   | 40                                    | Ιδιωτική                              |                               1 |                             4960 |                                                0 |                              60 |                              4960 |                        5020 |
|     2025 | Ορθοπεδική Κλινική                                   | 57                                    | ΕΟΠΥΥ                                 |                               1 |                             3408 |                                                0 |                              30 |                              3408 |                        3438 |
|     2025 | Ορθοπεδική Κλινική                                   | 80                                    | ΕΦΚΑ                                  |                               1 |                             1416 |                                                0 |                              35 |                              1416 |                        1451 |
|     2025 | Ουρολογικό Τμήμα                                     | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               5 |                            18478 |                                              300 |                             280 |                             18478 |                       19058 |
|     2025 | Ουρολογικό Τμήμα                                     | 110                                   | ΕΟΠΥΥ                                 |                               1 |                              787 |                                              300 |                              50 |                               787 |                        1137 |
|     2025 | Ουρολογικό Τμήμα                                     | 14                                    | ΕΦΚΑ                                  |                               1 |                            10706 |                                                0 |                              85 |                             10706 |                       10791 |
|     2025 | Ουρολογικό Τμήμα                                     | 17                                    | ΕΟΠΥΥ                                 |                               1 |                             5302 |                                                0 |                              60 |                              5302 |                        5362 |
|     2025 | Ουρολογικό Τμήμα                                     | 84                                    | ΕΦΚΑ                                  |                               1 |                             1356 |                                                0 |                              35 |                              1356 |                        1391 |
|     2025 | Ουρολογικό Τμήμα                                     | 99                                    | Ιδιωτική                              |                               1 |                              327 |                                                0 |                              50 |                               327 |                         377 |
|     2025 | Οφθαλμολογική Κλινική                                | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               7 |                            57214 |                                             1000 |                             320 |                             57214 |                       58534 |
|     2025 | Οφθαλμολογική Κλινική                                | 113                                   | ΕΦΚΑ                                  |                               1 |                              347 |                                              400 |                              20 |                               347 |                         767 |
|     2025 | Οφθαλμολογική Κλινική                                | 12                                    | Ιδιωτική                              |                               1 |                            15346 |                                                0 |                             100 |                             15346 |                       15446 |
|     2025 | Οφθαλμολογική Κλινική                                | 146                                   | ΕΟΠΥΥ                                 |                               1 |                              319 |                                              300 |                              20 |                               319 |                         639 |
|     2025 | Οφθαλμολογική Κλινική                                | 34                                    | ΕΟΠΥΥ                                 |                               1 |                              163 |                                              200 |                              50 |                               163 |                         413 |
|     2025 | Οφθαλμολογική Κλινική                                | 5                                     | Ιδιωτική                              |                               1 |                            39863 |                                                0 |                              70 |                             39863 |                       39933 |
|     2025 | Οφθαλμολογική Κλινική                                | 61                                    | ΕΟΠΥΥ                                 |                               1 |                              280 |                                              100 |                              30 |                               280 |                         410 |
|     2025 | Οφθαλμολογική Κλινική                                | 85                                    | ΕΟΠΥΥ                                 |                               1 |                              896 |                                                0 |                              30 |                               896 |                         926 |
|     2025 | Παθολογικό Τμήμα                                     | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               2 |                            94453 |                                              200 |                              75 |                             94453 |                       94728 |
|     2025 | Παθολογικό Τμήμα                                     | 119                                   | ΕΦΚΑ                                  |                               1 |                              444 |                                              200 |                              25 |                               444 |                         669 |
|     2025 | Παθολογικό Τμήμα                                     | 15                                    | ΕΦΚΑ                                  |                               1 |                            94009 |                                                0 |                              50 |                             94009 |                       94059 |
|     2025 | Παιδιατρική Κλινική                                  | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               8 |                            52775 |                                              500 |                             212 |                             52775 |                       53487 |
|     2025 | Παιδιατρική Κλινική                                  | 10                                    | ΕΦΚΑ                                  |                               1 |                            10017 |                                                0 |                              50 |                             10017 |                       10067 |
|     2025 | Παιδιατρική Κλινική                                  | 124                                   | ΕΟΠΥΥ                                 |                               1 |                              957 |                                                0 |                              25 |                               957 |                         982 |
|     2025 | Παιδιατρική Κλινική                                  | 145                                   | ΕΦΚΑ                                  |                               1 |                              630 |                                                0 |                              20 |                               630 |                         650 |
|     2025 | Παιδιατρική Κλινική                                  | 19                                    | ΕΦΚΑ                                  |                               1 |                            37063 |                                                0 |                              30 |                             37063 |                       37093 |
|     2025 | Παιδιατρική Κλινική                                  | 43                                    | ΕΦΚΑ                                  |                               1 |                             2109 |                                                0 |                              32 |                              2109 |                        2141 |
|     2025 | Παιδιατρική Κλινική                                  | 88                                    | Ιδιωτική                              |                               1 |                              583 |                                              200 |                              15 |                               583 |                         798 |
|     2025 | Παιδιατρική Κλινική                                  | 97                                    | ΕΦΚΑ                                  |                               1 |                              934 |                                                0 |                              25 |                               934 |                         959 |
|     2025 | Παιδιατρική Κλινική                                  | 98                                    | ΕΦΚΑ                                  |                               1 |                              482 |                                              300 |                              15 |                               482 |                         797 |
|     2025 | Τμήμα Επειγόντων (ΤΕΠ)                               | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               8 |                            16396 |                                              300 |                             325 |                             16396 |                       17021 |
|     2025 | Τμήμα Επειγόντων (ΤΕΠ)                               | 129                                   | ΕΦΚΑ                                  |                               1 |                             2712 |                                                0 |                              40 |                              2712 |                        2752 |
|     2025 | Τμήμα Επειγόντων (ΤΕΠ)                               | 131                                   | ΕΦΚΑ                                  |                               1 |                             1595 |                                                0 |                              30 |                              1595 |                        1625 |
|     2025 | Τμήμα Επειγόντων (ΤΕΠ)                               | 33                                    | ΕΟΠΥΥ                                 |                               1 |                             1110 |                                                0 |                              65 |                              1110 |                        1175 |
|     2025 | Τμήμα Επειγόντων (ΤΕΠ)                               | 36                                    | ΕΦΚΑ                                  |                               1 |                             5390 |                                                0 |                              70 |                              5390 |                        5460 |
|     2025 | Τμήμα Επειγόντων (ΤΕΠ)                               | 52                                    | Ανασφάλιστος                          |                               1 |                             1907 |                                                0 |                              40 |                              1907 |                        1947 |
|     2025 | Τμήμα Επειγόντων (ΤΕΠ)                               | 58                                    | Ιδιωτική                              |                               1 |                             1860 |                                                0 |                              30 |                              1860 |                        1890 |
|     2025 | Τμήμα Επειγόντων (ΤΕΠ)                               | 68                                    | Ιδιωτική                              |                               1 |                             1486 |                                                0 |                              25 |                              1486 |                        1511 |
|     2025 | Τμήμα Επειγόντων (ΤΕΠ)                               | 89                                    | ΕΦΚΑ                                  |                               1 |                              336 |                                              300 |                              25 |                               336 |                         661 |
|     2025 | Χειρουργικό Τμήμα                                    | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               5 |                             4895 |                                              200 |                             250 |                              4895 |                        5345 |
|     2025 | Χειρουργικό Τμήμα                                    | 120                                   | ΕΦΚΑ                                  |                               1 |                              358 |                                              200 |                              50 |                               358 |                         608 |
|     2025 | Χειρουργικό Τμήμα                                    | 121                                   | ΕΦΚΑ                                  |                               1 |                              397 |                                                0 |                              50 |                               397 |                         447 |
|     2025 | Χειρουργικό Τμήμα                                    | 144                                   | Ιδιωτική                              |                               1 |                             1144 |                                                0 |                              50 |                              1144 |                        1194 |
|     2025 | Χειρουργικό Τμήμα                                    | 149                                   | ΕΦΚΑ                                  |                               1 |                             1766 |                                                0 |                              50 |                              1766 |                        1816 |
|     2025 | Χειρουργικό Τμήμα                                    | 54                                    | ΕΦΚΑ                                  |                               1 |                             1230 |                                                0 |                              50 |                              1230 |                        1280 |
|     2025 | Ψυχιατρική Κλινική                                   | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               8 |                            76055 |                                              300 |                             441 |                             76055 |                       76796 |
|     2025 | Ψυχιατρική Κλινική                                   | 109                                   | Ανασφάλιστος                          |                               1 |                             1125 |                                              300 |                              50 |                              1125 |                        1475 |
|     2025 | Ψυχιατρική Κλινική                                   | 18                                    | ΕΦΚΑ                                  |                               1 |                             6414 |                                                0 |                              68 |                              6414 |                        6482 |
|     2025 | Ψυχιατρική Κλινική                                   | 3                                     | ΕΟΠΥΥ                                 |                               1 |                            30015 |                                                0 |                              33 |                             30015 |                       30048 |
|     2025 | Ψυχιατρική Κλινική                                   | 38                                    | ΕΦΚΑ                                  |                               1 |                             6919 |                                                0 |                             135 |                              6919 |                        7054 |
|     2025 | Ψυχιατρική Κλινική                                   | 39                                    | ΕΦΚΑ                                  |                               1 |                             2576 |                                                0 |                              65 |                              2576 |                        2641 |
|     2025 | Ψυχιατρική Κλινική                                   | 50                                    | ΕΦΚΑ                                  |                               1 |                             1307 |                                                0 |                              45 |                              1307 |                        1352 |
|     2025 | Ψυχιατρική Κλινική                                   | 59                                    | ΕΟΠΥΥ                                 |                               1 |                             1191 |                                                0 |                              15 |                              1191 |                        1206 |
|     2025 | Ψυχιατρική Κλινική                                   | 9                                     | ΕΟΠΥΥ                                 |                               1 |                            26508 |                                                0 |                              30 |                             26508 |                       26538 |
|     2025 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               4 |                             9305 |                                                0 |                             115 |                              9305 |                        9420 |
|     2025 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 122                                   | Ιδιωτική                              |                               1 |                              288 |                                                0 |                              20 |                               288 |                         308 |
|     2025 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 67                                    | ΕΦΚΑ                                  |                               1 |                              350 |                                                0 |                              30 |                               350 |                         380 |
|     2025 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 8                                     | Ιδιωτική                              |                               1 |                             8261 |                                                0 |                              45 |                              8261 |                        8306 |
|     2025 | Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 90                                    | ΕΦΚΑ                                  |                               1 |                              406 |                                                0 |                              20 |                               406 |                         426 |
|     2024 | Δερματολογικό Τμήμα                                  | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               1 |                              946 |                                                0 |                              40 |                               946 |                         986 |
|     2024 | Δερματολογικό Τμήμα                                  | 112                                   | Ιδιωτική                              |                               1 |                              946 |                                                0 |                              40 |                               946 |                         986 |
|     2024 | Καρδιολογική Κλινική                                 | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               6 |                            12956 |                                              500 |                             255 |                             12956 |                       13711 |
|     2024 | Καρδιολογική Κλινική                                 | 128                                   | ΕΟΠΥΥ                                 |                               1 |                             4701 |                                                0 |                              25 |                              4701 |                        4726 |
|     2024 | Καρδιολογική Κλινική                                 | 30                                    | ΕΟΠΥΥ                                 |                               1 |                             3297 |                                                0 |                              80 |                              3297 |                        3377 |
|     2024 | Καρδιολογική Κλινική                                 | 60                                    | ΕΦΚΑ                                  |                               1 |                             1510 |                                                0 |                              25 |                              1510 |                        1535 |
|     2024 | Καρδιολογική Κλινική                                 | 69                                    | ΕΦΚΑ                                  |                               1 |                              482 |                                              200 |                              60 |                               482 |                         742 |
|     2024 | Καρδιολογική Κλινική                                 | 71                                    | Ιδιωτική                              |                               1 |                             2327 |                                                0 |                              25 |                              2327 |                        2352 |
|     2024 | Καρδιολογική Κλινική                                 | 87                                    | Ιδιωτική                              |                               1 |                              639 |                                              300 |                              40 |                               639 |                         979 |
|     2024 | Μαιευτική και Γυναικολογική                          | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               8 |                            43332 |                                              500 |                             277 |                             43332 |                       44109 |
|     2024 | Μαιευτική και Γυναικολογική                          | 107                                   | ΕΦΚΑ                                  |                               1 |                             1934 |                                              300 |                              10 |                              1934 |                        2244 |
|     2024 | Μαιευτική και Γυναικολογική                          | 108                                   | Ιδιωτική                              |                               1 |                             1859 |                                              100 |                              30 |                              1859 |                        1989 |
|     2024 | Μαιευτική και Γυναικολογική                          | 116                                   | ΕΦΚΑ                                  |                               1 |                              557 |                                                0 |                              25 |                               557 |                         582 |
|     2024 | Μαιευτική και Γυναικολογική                          | 127                                   | Ιδιωτική                              |                               1 |                              661 |                                              100 |                              20 |                               661 |                         781 |
|     2024 | Μαιευτική και Γυναικολογική                          | 148                                   | ΕΟΠΥΥ                                 |                               1 |                              949 |                                                0 |                              30 |                               949 |                         979 |
|     2024 | Μαιευτική και Γυναικολογική                          | 20                                    | ΕΟΠΥΥ                                 |                               1 |                             2528 |                                                0 |                              45 |                              2528 |                        2573 |
|     2024 | Μαιευτική και Γυναικολογική                          | 4                                     | ΕΦΚΑ                                  |                               1 |                            34279 |                                                0 |                              92 |                             34279 |                       34371 |
|     2024 | Μαιευτική και Γυναικολογική                          | 53                                    | Ιδιωτική                              |                               1 |                              565 |                                                0 |                              25 |                               565 |                         590 |
|     2024 | Μονάδα Εντατικής Θεραπείας                           | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               9 |                            16640 |                                              900 |                            1392 |                             16640 |                       18932 |
|     2024 | Μονάδα Εντατικής Θεραπείας                           | 103                                   | ΕΦΚΑ                                  |                               1 |                             2570 |                                                0 |                             150 |                              2570 |                        2720 |
|     2024 | Μονάδα Εντατικής Θεραπείας                           | 117                                   | Ιδιωτική                              |                               1 |                             2288 |                                                0 |                              80 |                              2288 |                        2368 |
|     2024 | Μονάδα Εντατικής Θεραπείας                           | 27                                    | Ιδιωτική                              |                               1 |                             4267 |                                                0 |                             185 |                              4267 |                        4452 |
|     2024 | Μονάδα Εντατικής Θεραπείας                           | 28                                    | ΕΦΚΑ                                  |                               1 |                             2470 |                                                0 |                              65 |                              2470 |                        2535 |
|     2024 | Μονάδα Εντατικής Θεραπείας                           | 31                                    | ΕΦΚΑ                                  |                               1 |                              969 |                                              500 |                             425 |                               969 |                        1894 |
|     2024 | Μονάδα Εντατικής Θεραπείας                           | 42                                    | ΕΦΚΑ                                  |                               1 |                              243 |                                              100 |                             162 |                               243 |                         505 |
|     2024 | Μονάδα Εντατικής Θεραπείας                           | 73                                    | Ιδιωτική                              |                               1 |                             1323 |                                              200 |                             150 |                              1323 |                        1673 |
|     2024 | Μονάδα Εντατικής Θεραπείας                           | 86                                    | Ιδιωτική                              |                               1 |                              650 |                                              100 |                             150 |                               650 |                         900 |
|     2024 | Μονάδα Εντατικής Θεραπείας                           | 95                                    | ΕΟΠΥΥ                                 |                               1 |                             1860 |                                                0 |                              25 |                              1860 |                        1885 |
|     2024 | Νευρολογικό Τμήμα                                    | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               5 |                             6655 |                                              400 |                             950 |                              6655 |                        8005 |
|     2024 | Νευρολογικό Τμήμα                                    | 125                                   | ΕΦΚΑ                                  |                               1 |                              243 |                                              400 |                             250 |                               243 |                         893 |
|     2024 | Νευρολογικό Τμήμα                                    | 141                                   | ΕΟΠΥΥ                                 |                               1 |                             2187 |                                                0 |                              25 |                              2187 |                        2212 |
|     2024 | Νευρολογικό Τμήμα                                    | 45                                    | ΕΦΚΑ                                  |                               1 |                             1159 |                                                0 |                             265 |                              1159 |                        1424 |
|     2024 | Νευρολογικό Τμήμα                                    | 49                                    | ΕΦΚΑ                                  |                               1 |                             2529 |                                                0 |                             160 |                              2529 |                        2689 |
|     2024 | Νευρολογικό Τμήμα                                    | 74                                    | ΕΦΚΑ                                  |                               1 |                              537 |                                                0 |                             250 |                               537 |                         787 |
|     2024 | Ορθοπεδική Κλινική                                   | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               5 |                             9430 |                                             1100 |                             170 |                              9430 |                       10700 |
|     2024 | Ορθοπεδική Κλινική                                   | 104                                   | ΕΦΚΑ                                  |                               1 |                             1609 |                                              500 |                              30 |                              1609 |                        2139 |
|     2024 | Ορθοπεδική Κλινική                                   | 132                                   | Ιδιωτική                              |                               1 |                              683 |                                              300 |                              35 |                               683 |                        1018 |
|     2024 | Ορθοπεδική Κλινική                                   | 24                                    | ΕΟΠΥΥ                                 |                               1 |                             3836 |                                                0 |                              40 |                              3836 |                        3876 |
|     2024 | Ορθοπεδική Κλινική                                   | 72                                    | ΕΦΚΑ                                  |                               1 |                              879 |                                              300 |                              35 |                               879 |                        1214 |
|     2024 | Ορθοπεδική Κλινική                                   | 94                                    | ΕΟΠΥΥ                                 |                               1 |                             2423 |                                                0 |                              30 |                              2423 |                        2453 |
|     2024 | Ουρολογικό Τμήμα                                     | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               9 |                            13959 |                                              200 |                             340 |                             13959 |                       14499 |
|     2024 | Ουρολογικό Τμήμα                                     | 100                                   | ΕΦΚΑ                                  |                               1 |                              420 |                                                0 |                              35 |                               420 |                         455 |
|     2024 | Ουρολογικό Τμήμα                                     | 114                                   | ΕΟΠΥΥ                                 |                               1 |                              740 |                                                0 |                              35 |                               740 |                         775 |
|     2024 | Ουρολογικό Τμήμα                                     | 115                                   | ΕΦΚΑ                                  |                               1 |                             2145 |                                              200 |                              10 |                              2145 |                        2355 |
|     2024 | Ουρολογικό Τμήμα                                     | 140                                   | ΕΟΠΥΥ                                 |                               1 |                             2638 |                                                0 |                              35 |                              2638 |                        2673 |
|     2024 | Ουρολογικό Τμήμα                                     | 25                                    | ΕΦΚΑ                                  |                               1 |                             5914 |                                                0 |                              85 |                              5914 |                        5999 |
|     2024 | Ουρολογικό Τμήμα                                     | 51                                    | Ανασφάλιστος                          |                               1 |                              482 |                                                0 |                              20 |                               482 |                         502 |
|     2024 | Ουρολογικό Τμήμα                                     | 70                                    | ΕΦΚΑ                                  |                               1 |                              335 |                                                0 |                              35 |                               335 |                         370 |
|     2024 | Ουρολογικό Τμήμα                                     | 77                                    | Ιδιωτική                              |                               1 |                              693 |                                                0 |                              50 |                               693 |                         743 |
|     2024 | Ουρολογικό Τμήμα                                     | 93                                    | ΕΟΠΥΥ                                 |                               1 |                              592 |                                                0 |                              35 |                               592 |                         627 |
|     2024 | Οφθαλμολογική Κλινική                                | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               7 |                            37151 |                                              100 |                             390 |                             37151 |                       37641 |
|     2024 | Οφθαλμολογική Κλινική                                | 13                                    | ΕΟΠΥΥ                                 |                               1 |                             9669 |                                                0 |                              45 |                              9669 |                        9714 |
|     2024 | Οφθαλμολογική Κλινική                                | 133                                   | ΕΦΚΑ                                  |                               1 |                             6036 |                                                0 |                              25 |                              6036 |                        6061 |
|     2024 | Οφθαλμολογική Κλινική                                | 143                                   | ΕΟΠΥΥ                                 |                               1 |                             1938 |                                                0 |                              20 |                              1938 |                        1958 |
|     2024 | Οφθαλμολογική Κλινική                                | 47                                    | ΕΟΠΥΥ                                 |                               1 |                             2062 |                                                0 |                              43 |                              2062 |                        2105 |
|     2024 | Οφθαλμολογική Κλινική                                | 48                                    | ΕΟΠΥΥ                                 |                               1 |                              872 |                                                0 |                             100 |                               872 |                         972 |
|     2024 | Οφθαλμολογική Κλινική                                | 7                                     | ΕΦΚΑ                                  |                               1 |                            15548 |                                                0 |                             132 |                             15548 |                       15680 |
|     2024 | Οφθαλμολογική Κλινική                                | 91                                    | ΕΟΠΥΥ                                 |                               1 |                             1026 |                                              100 |                              25 |                              1026 |                        1151 |
|     2024 | Παθολογικό Τμήμα                                     | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               5 |                            19780 |                                              100 |                             187 |                             19780 |                       20067 |
|     2024 | Παθολογικό Τμήμα                                     | 105                                   | Ιδιωτική                              |                               1 |                             1281 |                                              100 |                              30 |                              1281 |                        1411 |
|     2024 | Παθολογικό Τμήμα                                     | 134                                   | ΕΦΚΑ                                  |                               1 |                             4627 |                                                0 |                              35 |                              4627 |                        4662 |
|     2024 | Παθολογικό Τμήμα                                     | 16                                    | Ιδιωτική                              |                               1 |                            10704 |                                                0 |                              47 |                             10704 |                       10751 |
|     2024 | Παθολογικό Τμήμα                                     | 35                                    | ΕΦΚΑ                                  |                               1 |                             1331 |                                                0 |                              45 |                              1331 |                        1376 |
|     2024 | Παθολογικό Τμήμα                                     | 76                                    | ΕΟΠΥΥ                                 |                               1 |                             1837 |                                                0 |                              30 |                              1837 |                        1867 |
|     2024 | Παιδιατρική Κλινική                                  | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               4 |                             7152 |                                                0 |                             125 |                              7152 |                        7277 |
|     2024 | Παιδιατρική Κλινική                                  | 130                                   | ΕΟΠΥΥ                                 |                               1 |                             3922 |                                                0 |                              35 |                              3922 |                        3957 |
|     2024 | Παιδιατρική Κλινική                                  | 63                                    | ΕΟΠΥΥ                                 |                               1 |                             1183 |                                                0 |                              35 |                              1183 |                        1218 |
|     2024 | Παιδιατρική Κλινική                                  | 65                                    | ΕΟΠΥΥ                                 |                               1 |                             1012 |                                                0 |                              40 |                              1012 |                        1052 |
|     2024 | Παιδιατρική Κλινική                                  | 96                                    | ΕΦΚΑ                                  |                               1 |                             1035 |                                                0 |                              15 |                              1035 |                        1050 |
|     2024 | Τμήμα Επειγόντων (ΤΕΠ)                               | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               4 |                             7100 |                                                0 |                             137 |                              7100 |                        7237 |
|     2024 | Τμήμα Επειγόντων (ΤΕΠ)                               | 118                                   | ΕΦΚΑ                                  |                               1 |                              545 |                                                0 |                              30 |                               545 |                         575 |
|     2024 | Τμήμα Επειγόντων (ΤΕΠ)                               | 135                                   | ΕΦΚΑ                                  |                               1 |                             3635 |                                                0 |                              25 |                              3635 |                        3660 |
|     2024 | Τμήμα Επειγόντων (ΤΕΠ)                               | 142                                   | ΕΦΚΑ                                  |                               1 |                             1035 |                                                0 |                              40 |                              1035 |                        1075 |
|     2024 | Τμήμα Επειγόντων (ΤΕΠ)                               | 41                                    | ΕΟΠΥΥ                                 |                               1 |                             1885 |                                                0 |                              42 |                              1885 |                        1927 |
|     2024 | Χειρουργικό Τμήμα                                    | --- ΣΥΝΟΛΟ ΤΜΗΜΑΤΟΣ ---               | -                                     |                               5 |                             5670 |                                              700 |                             545 |                              5670 |                        6915 |
|     2024 | Χειρουργικό Τμήμα                                    | 126                                   | ΕΟΠΥΥ                                 |                               1 |                              254 |                                              100 |                             120 |                               254 |                         474 |
|     2024 | Χειρουργικό Τμήμα                                    | 29                                    | ΕΦΚΑ                                  |                               1 |                              439 |                                                0 |                              65 |                               439 |                         504 |
