+------------------------------------------------------+----------------------+--------------+-----------------------------------------+---------------------------------------------------------------------------------+-----------------------------+
| Τμήμα                                                | Ημερομηνία           | Βάρδια       | Κατηγορία Προσωπικού                    | Υποκλάση (Ειδικότητα/Βαθμίδα/Ρόλος)                                             | Αριθμός Ατόμων              |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | night        | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | morning      | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-11           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Ψυχιατρική Κλινική                                   | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ψυχιατρική Κλινική                                   | 2026-05-11           | morning      | Ιατρός                                  | Ψυχίατρος                                                                       |                           3 |
| Ψυχιατρική Κλινική                                   | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Ψυχιατρική Κλινική                                   | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           1 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-11           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-11           | morning      | Ιατρός                                  | ΩΡΛ                                                                             |                           3 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Επικεφαλής Νομικός Σύμβουλος                                                    |                           1 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-11           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | afternoon    | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | afternoon    | Διοικητικό Προσωπικό                    | Σύμβουλος Κανονιστικής Συμμόρφωσης (Compliance)                                 |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | night        | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | night        | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | night        | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | morning      | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | afternoon    | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           2 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-12           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος ΜΕΘ                                                         |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | morning      | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | morning      | Διοικητικό Προσωπικό                    | Οικονομικός Διευθυντής                                                          |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | afternoon    | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | afternoon    | Διοικητικό Προσωπικό                    | Λογιστής                                                                        |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | night        | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | night        | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-12           | night        | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           1 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-13           | morning      | Ιατρός                                  | Ακτινολόγος                                                                     |                           3 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Ακτινοδιαγνωστικό Τμήμα                              | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Δερματολογικό Τμήμα                                  | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Δερματολογικό Τμήμα                                  | 2026-05-13           | morning      | Ιατρός                                  | Δερματολόγος                                                                    |                           3 |
| Δερματολογικό Τμήμα                                  | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Νομικός Σύμβουλος (Ιατρικό Δίκαιο)                                              |                           1 |
| Δερματολογικό Τμήμα                                  | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Καρδιολογική Κλινική                                 | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Καρδιολογική Κλινική                                 | 2026-05-13           | morning      | Ιατρός                                  | Καρδιολόγος                                                                     |                           3 |
| Καρδιολογική Κλινική                                 | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Εργαστηρίου                                                          |                           1 |
| Καρδιολογική Κλινική                                 | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Μαιευτική και Γυναικολογική                          | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Μαιευτική και Γυναικολογική                          | 2026-05-13           | morning      | Ιατρός                                  | Γυναικολόγος                                                                    |                           3 |
| Μαιευτική και Γυναικολογική                          | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Εργαστηρίου                                                          |                           1 |
| Μαιευτική και Γυναικολογική                          | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-13           | morning      | Ιατρός                                  | Εντατικολόγος                                                                   |                           3 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Σύμβουλος Κανονιστικής Συμμόρφωσης (Compliance)                                 |                           1 |
| Μονάδα Εντατικής Θεραπείας                           | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος ΜΕΘ                                                         |                           1 |
| Νευρολογικό Τμήμα                                    | 2026-05-13           | morning      | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Νευρολογικό Τμήμα                                    | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Νευρολογικό Τμήμα                                    | 2026-05-13           | morning      | Ιατρός                                  | Νευρολόγος                                                                      |                           3 |
| Νευρολογικό Τμήμα                                    | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Νευρολογικό Τμήμα                                    | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Ορθοπεδική Κλινική                                   | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ορθοπεδική Κλινική                                   | 2026-05-13           | morning      | Ιατρός                                  | Ορθοπεδικός                                                                     |                           3 |
| Ορθοπεδική Κλινική                                   | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           2 |
| Ουρολογικό Τμήμα                                     | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ουρολογικό Τμήμα                                     | 2026-05-13           | morning      | Ιατρός                                  | Ουρολόγος                                                                       |                           3 |
| Ουρολογικό Τμήμα                                     | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Ουρολογικό Τμήμα                                     | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος                                                           |                           1 |
| Οφθαλμολογική Κλινική                                | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Οφθαλμολογική Κλινική                                | 2026-05-13           | morning      | Ιατρός                                  | Οφθαλμίατρος                                                                    |                           3 |
| Οφθαλμολογική Κλινική                                | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Οφθαλμολογική Κλινική                                | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Κλινικής                                                  |                           1 |
| Παθολογικό Τμήμα                                     | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Υπάλληλος Παράδοσης Αποτελεσμάτων                                               |                           1 |
| Παθολογικό Τμήμα                                     | 2026-05-13           | morning      | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Παθολογικό Τμήμα                                     | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Παθολογικό Τμήμα                                     | 2026-05-13           | morning      | Ιατρός                                  | Παθολόγος                                                                       |                           3 |
| Παθολογικό Τμήμα                                     | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Οικονομικός Διευθυντής                                                          |                           1 |
| Παιδιατρική Κλινική                                  | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Παιδιατρική Κλινική                                  | 2026-05-13           | morning      | Ιατρός                                  | Παιδίατρος                                                                      |                           3 |
| Παιδιατρική Κλινική                                  | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Παιδιατρική Κλινική                                  | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Κλινικής                                                  |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | morning      | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | afternoon    | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Υπεύθυνος Προμηθειών Υγείας                                                     |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | night        | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           2 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | night        | Ιατρός                                  | Επειγοντολόγος                                                                  |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | night        | Διοικητικό Προσωπικό                    | Οικονομικός Διευθυντής                                                          |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | afternoon    | Ιατρός                                  | Επειγοντολόγος                                                                  |                           2 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | night        | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | afternoon    | Ιατρός                                  | Παθολόγος                                                                       |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-13           | afternoon    | Διοικητικό Προσωπικό                    | Υπάλληλος Διαλογής Εγγραφών                                                     |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | night        | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | night        | Διοικητικό Προσωπικό                    | Γραμματέας Εργαστηρίου                                                          |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | afternoon    | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | afternoon    | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Κλινικής                                                  |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | afternoon    | Διοικητικό Προσωπικό                    | Προϊστάμενος Γραμματείας                                                        |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | morning      | Ιατρός                                  | Χειρουργός                                                                      |                           3 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           2 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | night        | Διοικητικό Προσωπικό                    | Υπάλληλος Εξυπηρέτησης                                                          |                           1 |
| Χειρουργικό Τμήμα                                    | 2026-05-13           | night        | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ψυχιατρική Κλινική                                   | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ψυχιατρική Κλινική                                   | 2026-05-13           | morning      | Ιατρός                                  | Ψυχίατρος                                                                       |                           3 |
| Ψυχιατρική Κλινική                                   | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Υπάλληλος Τιμολόγησης ΚΕΝ                                                       |                           1 |
| Ψυχιατρική Κλινική                                   | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           1 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-13           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Υποδοχής                                                  |                           1 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-13           | morning      | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           5 |
| Ωτορινολαρυγγολογικό (ΩΡΛ)                           | 2026-05-13           | morning      | Ιατρός                                  | ΩΡΛ                                                                             |                           3 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | afternoon    | Νοσηλευτής                              | Νοσηλευτής/τρια                                                                 |                           4 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | morning      | Διοικητικό Προσωπικό                    | Γραμματέας Τμήματος                                                             |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | afternoon    | Νοσηλευτής                              | Προϊστάμενος/η                                                                  |                           1 |
| Τμήμα Επειγόντων (ΤΕΠ)                               | 2026-05-14           | morning      | Διοικητικό Προσωπικό                    | Διοικητικός Υπάλληλος Κλινικής                                                  |                           1 |
